Box, 0.07, 0.07, 0.07
Pyramid, 0.08, 0.08, 0.12
Tube, 0.06, 0.06, 0.11
Apple, 0.08, 0.08, 0.11
BirthdayCake, 0.2, 0.21, 0.14
CheeseWedge, 0.12, 0.08, 0.085
Coffee, 0.13, 0.13, 0.08
Croissant, 0.13, 0.095, 0.065
Cup, 0.07, 0.1, 0.08
CupCake, 0.09, 0.09, 0.11
Gramophone, 0.23, 0.29, 0.4
HighHeelPump, 0.06, 0.11, 0.12
Laptop, 0.335, 0.3, 0.23
PartyHat, 0.16, 0.15, 0.2
Pasta, 0.315, 0.3, 0.12
PizzaSlice, 0.215, 0.15, 0.2
Popcorn, 0.155, 0.16, 0.2
Present, 0.265, 0.25, 0.23
Sugar, 0.075, 0.06, 0.075
Tea_Pot, 0.12, 0.09, 0.12
Tea_Tin, 0.07, 0.095, 0.125
Telephone, 0.237, 0.29, 0.09
XboxController, 0.16, 0.13, 0.075
XboxOneS, 0.08, 0.2, 0.25
beer, 0.0675, 0.06, 0.13
coke_can, 0.07, 0.06, 0.14
construction_cone, 0.15, 0.16, 0.33
cordless_drill, 0.125, 0.17, 0.19
hammer, 0.08, 0.2, 0.02
monkey_wrench, 0.237, 0.05, 0.02
Bamboo, 0.09, 0.09, 0.38
BleachBottle, 0.17, 0.13, 0.31
Burger, 0.13, 0.12, 0.09
Cookie, 0.12, 0.12, 0.04
EspressoMachine, 0.35, 0.15, 0.24
FryingPan, 0.23, 0.33, 0.07
Knife, 0.24, 0.04, 0.02
PrescriptionBottle, 0.04, 0.04, 0.13
TunaCan, 0.9, 0.9, 0.06
